delivery_date,wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours
2021-01-01,7000,675,159,189,134,720,296,863
2021-01-02,6319,688,160,187,162,720,272,844
2021-01-03,6454,680,160,172,158,720,302,869
2021-01-04,5350,625,136,157,146,659,306,746
2021-01-05,5321,593,137,170,138,574,187,783
2021-01-06,5760,688,122,154,142,720,255,768
2021-01-07,5738,655,133,161,120,720,201,738
2021-01-08,6229,852,139,190,137,720,260,895
2021-01-09,6574,803,145,164,173,720,202,834
2021-01-10,6003,782,151,185,155,720,278,863
2021-01-11,5660,604,126,143,123,720,201,760
2021-01-12,5668,681,138,148,134,720,153,709
2021-01-13,5037,580,135,134,135,617,206,786
2021-01-14,5173,636,119,144,152,476,237,768
2021-01-15,6117,646,150,163,164,720,317,866
2021-01-16,5967,760,152,197,173,720,312,832
2021-01-17,6101,683,145,148,170,720,194,838
2021-01-18,5610,709,154,202,146,652,135,769
2021-01-19,5215,621,123,147,155,602,214,724
2021-01-20,4914,616,129,182,142,561,200,719
2021-01-21,5162,599,156,135,152,522,257,773
2021-01-22,6270,745,142,181,155,720,202,880
2021-01-23,6878,759,148,178,179,720,237,913
2021-01-24,6475,855,152,150,142,720,322,868
2021-01-25,5366,752,117,134,149,614,220,754
2021-01-26,5618,749,131,162,111,710,186,717
2021-01-27,5193,627,141,126,140,557,207,795
2021-01-28,5688,744,128,137,137,720,227,722
2021-01-29,6357,763,180,206,149,720,194,853
2021-01-30,6435,832,141,161,131,720,211,855
2021-01-31,6018,741,128,146,191,720,209,938
2021-02-01,6517,568,126,156,164,720,210,787
2021-02-02,5652,624,128,125,137,708,229,741
2021-02-03,5665,721,132,156,141,720,191,771
2021-02-04,5466,797,149,157,129,601,268,769
2021-02-05,6493,625,161,181,145,720,264,876
2021-02-06,6223,740,146,175,182,720,244,880
2021-02-07,7000,721,128,178,185,720,288,863
2021-02-08,5479,576,126,173,148,720,267,775
2021-02-09,6110,681,140,145,141,720,260,719
2021-02-10,5774,637,144,164,165,720,157,758
2021-02-11,5090,614,148,161,130,494,221,717
2021-02-12,6090,769,163,183,129,720,256,888
2021-02-13,6891,603,142,183,139,720,268,904
2021-02-14,6125,804,162,177,164,720,218,869
2021-02-15,5447,677,142,131,138,720,190,731
2021-02-16,5571,709,130,174,152,720,242,841
2021-02-17,5428,510,149,142,142,720,156,716
2021-02-18,4940,594,135,159,144,425,128,762
2021-02-19,6160,780,158,175,172,720,274,849
2021-02-20,6262,761,159,165,168,720,248,903
2021-02-21,5627,657,132,130,152,720,242,881
2021-02-22,5881,743,129,174,141,720,196,708
2021-02-23,5189,625,140,181,121,608,178,777
2021-02-24,5454,522,141,139,133,600,194,775
2021-02-25,5434,673,134,174,135,570,263,748
2021-02-26,6715,774,148,179,188,720,256,880
2021-02-27,6702,688,153,172,165,720,189,801
2021-02-28,5934,715,146,207,176,720,267,860
2021-03-01,4900,663,137,144,155,381,220,851
2021-03-02,5078,750,131,160,139,493,189,775
2021-03-03,4702,697,143,157,136,418,208,793
2021-03-04,4359,627,106,123,159,341,191,707
2021-03-05,4712,709,179,180,153,494,191,864
2021-03-06,5785,741,159,179,170,720,289,931
2021-03-07,5410,685,166,169,181,648,311,879
2021-03-08,5090,760,126,133,134,534,157,782
2021-03-09,4811,730,101,136,116,374,230,754
2021-03-10,4911,639,132,132,150,493,235,779
2021-03-11,5104,792,129,144,129,449,170,729
2021-03-12,5725,771,150,159,174,720,247,851
2021-03-13,5942,761,132,171,165,720,261,823
2021-03-14,6218,835,146,179,127,720,241,836
2021-03-15,5250,790,116,135,143,652,171,769
2021-03-16,5637,534,115,142,133,720,230,698
2021-03-17,5180,610,145,139,131,566,251,776
2021-03-18,4410,688,118,154,120,330,188,715
2021-03-19,6000,764,142,199,155,720,264,852
2021-03-20,5915,710,145,197,146,682,317,963
2021-03-21,5608,612,146,167,158,668,276,892
2021-03-22,4477,699,155,153,135,320,245,699
2021-03-23,5058,623,152,147,163,431,243,771
2021-03-24,4696,662,145,144,116,388,184,748
2021-03-25,4971,531,111,159,133,320,251,770
2021-03-26,5500,655,160,179,194,720,269,868
2021-03-27,6036,791,165,163,155,720,285,926
2021-03-28,5589,718,153,168,174,594,220,847
2021-03-29,4188,583,119,146,156,320,179,758
2021-03-30,5367,582,119,160,137,629,219,785
2021-03-31,4638,649,127,128,118,413,206,724
2021-04-01,4966,729,103,123,127,557,231,787
2021-04-02,5351,669,155,174,169,646,264,880
2021-04-03,6022,804,130,132,175,720,212,809
2021-04-04,5785,813,171,182,156,720,253,864
2021-04-05,4645,793,151,170,127,425,246,775
2021-04-06,5437,694,139,161,145,504,223,741
2021-04-07,4552,768,151,174,144,427,220,767
2021-04-08,4617,678,131,127,139,360,292,791
2021-04-09,5754,765,150,169,146,720,223,830
2021-04-10,5929,775,128,170,175,720,294,875
2021-04-11,5454,672,154,179,179,720,248,830
2021-04-12,4888,665,128,140,144,416,195,771
2021-04-13,4859,667,133,129,133,524,174,686
2021-04-14,4348,652,130,148,157,320,236,815
2021-04-15,4605,623,121,134,135,447,293,748
2021-04-16,6417,750,171,171,163,720,380,904
2021-04-17,5502,815,145,164,174,704,264,874
2021-04-18,5868,777,126,184,147,720,251,877
2021-04-19,4757,708,114,143,132,404,231,725
2021-04-20,5253,654,107,115,140,543,216,759
2021-04-21,5079,716,117,129,125,521,270,745
2021-04-22,4124,531,120,140,134,320,208,797
2021-04-23,5513,687,155,145,166,712,247,930
2021-04-24,5532,892,147,150,162,647,223,888
2021-04-25,5944,704,161,193,181,720,308,808
2021-04-26,4889,589,131,140,138,560,213,774
2021-04-27,4919,655,130,158,156,555,232,781
2021-04-28,4597,644,141,166,143,412,240,802
2021-04-29,5101,625,134,97,145,320,151,776
2021-04-30,5917,666,141,197,154,720,253,888
2021-05-01,6316,757,137,171,161,720,243,848
2021-05-02,6074,750,146,171,164,720,213,838
2021-05-03,5387,621,113,158,146,504,229,786
2021-05-04,5131,694,113,156,136,490,255,812
2021-05-05,5628,742,129,156,151,676,225,789
2021-05-06,4979,599,125,161,140,494,247,747
2021-05-07,6015,774,135,198,154,720,211,838
2021-05-08,5768,728,145,184,166,720,269,896
2021-05-09,5012,722,123,173,161,618,301,881
2021-05-10,4825,684,124,150,154,394,252,784
2021-05-11,4666,718,138,152,129,328,198,779
2021-05-12,4666,681,115,146,142,527,165,812
2021-05-13,5052,679,131,158,138,583,202,800
2021-05-14,5524,743,137,181,181,705,245,835
2021-05-15,5670,636,139,177,179,720,230,924
2021-05-16,5835,737,155,174,163,720,197,820
2021-05-17,5229,631,123,150,151,560,194,803
2021-05-18,5553,685,142,172,156,683,244,778
2021-05-19,4616,699,114,136,158,415,279,750
2021-05-20,4597,633,131,151,156,337,234,725
2021-05-21,5908,748,141,168,158,720,324,871
2021-05-22,5665,601,139,168,151,720,246,919
2021-05-23,5772,750,148,173,185,644,173,855
2021-05-24,5005,698,136,143,154,543,227,794
2021-05-25,5095,611,138,152,140,597,122,710
2021-05-26,4585,625,127,123,126,320,318,823
2021-05-27,4856,625,116,116,138,377,217,704
2021-05-28,5483,758,154,180,143,720,221,896
2021-05-29,5746,651,146,179,170,720,314,909
2021-05-30,5660,800,173,208,144,694,312,837
2021-05-31,4537,616,135,148,131,320,192,729
2021-06-01,5799,671,156,159,137,677,140,712
2021-06-02,4366,493,131,192,139,367,263,787
2021-06-03,4685,687,154,158,148,419,224,721
2021-06-04,5336,754,171,179,161,687,308,928
2021-06-05,6197,677,188,184,176,720,267,811
2021-06-06,5690,638,179,221,150,720,254,852
2021-06-07,5271,647,166,159,154,567,278,744
2021-06-08,4983,642,136,180,149,511,308,811
2021-06-09,4869,676,138,168,132,538,261,752
2021-06-10,5418,498,121,182,141,620,193,759
2021-06-11,6451,805,169,185,155,720,294,904
2021-06-12,5199,701,154,176,162,487,308,900
2021-06-13,5662,574,155,215,122,720,236,902
2021-06-14,4764,678,152,201,137,432,187,802
2021-06-15,4734,611,145,140,143,458,258,704
2021-06-16,4957,702,123,149,152,483,263,825
2021-06-17,5164,696,178,164,129,555,264,742
2021-06-18,5389,900,171,180,174,662,273,894
2021-06-19,5298,772,190,202,156,611,267,865
2021-06-20,5618,812,147,209,156,720,238,921
2021-06-21,5436,717,127,183,146,514,245,773
2021-06-22,5195,662,149,195,157,366,234,754
2021-06-23,4387,657,161,148,145,320,220,812
2021-06-24,4810,682,123,202,148,412,269,711
2021-06-25,6164,725,165,184,153,720,294,897
2021-06-26,5747,783,162,230,139,720,338,844
2021-06-27,6530,817,179,194,158,720,299,923
2021-06-28,5063,586,155,185,149,544,236,727
2021-06-29,4696,536,148,166,134,320,197,799
2021-06-30,4767,675,129,194,138,428,339,813
